微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数
GCMyavd62,27岁的第一天 我带着三胎先行曲《Give Me A Chance》MV来了 张艺兴工作室💫的美拍  ,无,2018-10-07 10:19,无,441401,923600,198910
GCIH2uzNw,祝你生日快乐  ,无,2018-10-07 00:30,生日动态,670474,171257,485152
GCvws5FJ1,分享我的故事 微博视频  ,无,2018-10-05 14:58,微博视频,384743,766838,164399
GCprCs7tJ,很荣幸 能够带着自己参演的作品《一出好戏》 第一次以演员的身份参加电影节 很开心 亲爱的导演渤哥@黄渤 迅哥@演员王迅 都在身边 想念哥哥们 想念大家 假期的最后几天 要玩得开心啊 晚安  [组图共3张] 原图 ,无,2018-10-04 23:29,无,546750,643319,127627
GBTeW4gzQ,"转发理由:今天是国庆节 祝祖国生日快乐 一切平安 繁荣昌盛 也祝所有祖国人民 幸福健康  
原始用户: 人民日报
转发内容: 【此时此刻，无论你在何地，请为中国传递这条微博】对你而言，什么是中国？她曾积贫积弱，如今重焕生机。六十九载，汗水与泪水，光荣与梦想。中国未来的成就与辉煌，由你、我、他共同创造。转发，一起努力，#中国有我#！人民日报的秒拍视频  ",无,2018-10-01 13:30,无,319518,713354,185600
GAOQM81Eq,今年还吃月饼 祝大家中秋快乐 团团圆圆 开心开心 张艺兴工作室💫的美拍  ,无,2018-09-24 12:29,无,410855,1000000,377355
GAkWHqNnD,欢迎来到 梦不落雨林|NAMANANA 做自己  原图 ,无,2018-09-21 08:22,无,476191,1000000,294932
GAfo1vK3e,#体验世界的伙伴#从今天开始，腾讯地图的品牌代言人正式上线~由我来做你们体验世界的伙伴，未来的路，陪你们一起走下去。有些悄悄话，我要说给你们听；打开腾讯地图，还有惊喜想送给你们！快来点这里吧http://t.cn/RsTr2bf  原图 ,无,2018-09-20 18:12,无,226882,1000000,229485
GAdwjvXhc,很荣幸 续任湖南共青团宣传工作推广大使 进入了有责任 有使命 有动力的第三个年头 我希望以后能和更多的年轻朋友 多做一些有益于我们国家 社会的事 贡献出自己的一份力量 我们聚齐微薄之力 汇成一片大海 同时 也希望和大家一起为了梦想继续奔跑 不忘初心 因为努力就会有努力的结果  [组图共3张] 原图 ,无,2018-09-20 13:27,无,277385,936002,215059
GzCY8kc39,"转发理由:强台风山竹登陆 大家要注意安全 尽量避免外出 记得保护好自己  
原始用户: 央视新闻
转发内容: 【台风来袭，避险教程转给更多人！】#台风山竹袭来#！大风！大雨！该如何避险？这份避险教程要了解！转！  [组图共9张] 原图 ",无,2018-09-16 16:24,无,237118,180287,259894
GyTfq8WPl,3rd album coming soon  [组图共9张] 原图 ,无,2018-09-11 20:00,无,473824,1000000,502952
GyHWdxFZq,韩愈说“师者，所以传道受业解惑也”  今天是教师节 第一次收到了“老师  PD”称呼的祝福 有点懵 有点惶恐 感受到一丝压力 然后有点小激动 非常感谢呀 其实因为外公外婆是老师的原因 对老师这个职业有着格外的亲近感 我们每个人从白纸到形成自己的价值观 老师们都给予了极大的影响和帮助 感恩一切 祝天下的老师们 节日快乐                                 ,无,2018-09-10 15:13,无,368848,593950,219644
GywxnamGa,"转发理由:一起努力努力再努力[加油]//@杨天真小姐:（YX）² //@壹心娱乐:一起“极限挑战”，共同上演“一出好戏”！  
原始用户: 张艺兴工作室
转发内容: 即日起，#张艺兴[超话]# 工作室与壹心娱乐达成娱乐事业战略合作，双方将组建新的团队，在张艺兴个人品牌运营、演艺事业、衍生品开发及音乐创作等各娱乐版块形成合作关系。  [组图共2张] 原图 ",无,2018-09-09 10:12,无,231482,340225,97128
Gy8TguV9g,春夏品牌首位代言人，我的神秘身份终于揭晓啦！你猜到了嘛快去关注@春夏品牌官方微博，随时get宠肤小秘籍～还有机会在9月21日和我面对面哦～春夏品牌的美拍  ,无,2018-09-06 22:00,无,284440,872854,255441
GxUKxwBLZ,为贫困山区的孩子们点亮多姿多彩的世界，邀请大家参与“公益星计划”活动，你的每一次分享和参与都将为山区儿童贡献一份力量，让我们一起关注山区儿童教育，用科技手段让贫困山区孩子共享优质的教育资源，不再因地域限制他们的视野。让我们动一动手指，点亮多彩世界，一起筑梦未来。  原图 ,无,2018-09-05 10:00,无,280524,784979,240413
GxD6HaeWl,"转发理由:你们的MAC魅可中国区品牌代言人上线了，答案大家猜到了吗？  
原始用户: MAC魅可
转发内容: 他，有态度，更有颜值。他是挚爱音乐的制作人，他是光芒万丈的舞台王者，出道多年不忘初心，变身张PD真诚严谨，在影视领域惊艳荧屏。他，就是#MAC魅可中国区首位品牌代言人张艺兴#！M·A·C魅可将携手潮流绅士张艺兴 @努力努力再努力x 诠释品牌态度，演绎创意敢为的彩妆魅力！猜猜M·A·C与张艺兴的第一次“合作舞台”，会Pick哪款热门单品？              原图                     ",无,2018-09-03 13:05,无,291246,1000000,237447
Gx4g9uhCF,"转发理由:2018年百度娱乐人物 是荣誉 也是激励 感谢大家的支持与肯定  感谢我的兴迷Xback 未来继续一起前行  
原始用户: 百度娱乐人物
转发内容: #2018百度娱乐人物# 感谢2018，让我们遇见全能的张艺兴@努力努力再努力x   突破、 坚持、努力、向上，他从《一出好戏》中走来，惊喜地完成角色反转，崭露演员的天赋。他从个人唱片《SHEEP》中走来，国际羊的独特个性与音乐创造能力，让大众看到了年轻音乐唱作人的实力。他从《偶像练习生》走来，是专业且尽职的全民制作人代表。他是叱咤舞台的王者，也是练习室里不懈努力的追梦人。2018上半年，#张艺兴[超话]# 的百度综合热度同比2017增长127%，超高人气与作品讨论度的背后，是偶像的努力与实力，期待张艺兴带给我们更多精彩作品。祝福2018百度娱乐年度人物——张艺兴。扫码上百度APP，来百度动态和张艺兴在一起！              原图                     ",无,2018-08-30 20:22,无,296226,918249,265188
GwL5o8cVc,恭喜《一出好戏》票房突破13亿  [组图共6张] 原图 ,无,2018-08-28 19:33,无,516871,1000000,342028
GwlyCqMtR,@黄渤 渤哥！导演！生日快乐 正好翻到《一出好戏》杀青的时候 拍的一点小东西 才发现已经过了这么久啦 被导演虐的时光仿佛还在昨天一样（没有说导演不好的意思）祝福同样在八月出生的渤哥和《一出好戏》生日快乐 努力努力xxxx的美拍  ,无,2018-08-26 02:34,无,383361,1000000,292712
Gv4YVcWNB,你们要的九宫格自拍已解锁 这也是给你们的七夕礼物 节日快乐  [组图共9张] 原图 ,无,2018-08-17 18:32,无,810391,1000000,741096
GuVKei7UV,"转发理由:如果有人问 我在哪 我想对他说 暗中观察 查看图片  
原始用户: 舒淇
转发内容: 看戲的 演戲的 拍戲的 棋子？ 傻子 ？瘋子 ？⋯⋯⋯ #电影一出好戏#  原图 ",无,2018-08-16 19:01,无,292535,305364,84774
GuRu155EX,红雷哥 生日快乐 @孙红雷 今年的祝福加倍 祝您身体健康 万事如意 心想事成 然后 祝哥早日喜提一出好戏的戏份（配图取自我尊敬的粉丝朋友）  [组图共2张] 原图 ,无,2018-08-16 08:10,无,600367,697057,128831
GuMmgn3vl,"转发理由:哥 我看到也惊了 这一届是带过的观众中脑洞最大的 坐等其他解答   
原始用户: 于和伟
转发内容: 这种脑洞我还是服的…细思极恐！莫非我只是演了个幻觉？…#电影一出好戏#  [组图共6张] 原图 ",无,2018-08-15 19:07,无,301843,182684,38528
GuLmVBPxn,"转发理由:不管是土豆还是皮蛋 私人飞机能安排不 //@徐峥:很多朋友没看全，这里有完整版，叫剁椒皮蛋吧！//@黄渤:白白净净的又戴着帽子不应该叫彩蛋  
原始用户: 电影一出好戏
转发内容: #电影一出好戏# 彩蛋之一重磅上线！@黄渤 为何欲买豪车，张艺兴@努力努力再努力x 为何想要私人飞机，@徐峥 为何紧急召集五百弟兄？三大彩蛋，其一先睹为快，更多精彩内容你确定不去电影院看看吗？电影一出好戏的秒拍视频  ",无,2018-08-15 16:36,无,232213,147562,49219
GuJvlnpLK,是时候跟大家介绍一下我的新身份了没错，我成为了美拍首位代言人接下来，我会在@美拍 教大家各种音乐和跳舞的独门秘籍哦我已经在美拍啦赶快来美拍找到我，和我报到吧～#在美拍，每天都有新收获# 努力努力xxxx的美拍  ,无,2018-08-15 11:51,无,412633,1000000,263977
GuBVO7ael,全世界最好的心动，谢谢@碧欧泉Biotherm 为我送到手中。谢谢每一份告白，我会好好珍藏。碧欧泉会为我送出一份七夕心动礼盒，内含我用了十年的护肤搭档碧欧泉男士水动力系列，把它分享给大家，童鞋们点击 法国碧欧泉男士水动力护肤品套装 洁面爽肤水保湿乳 清洁润泽补水 就能收获同款，前往线下专柜还能get限量心动礼盒！#焕新肌 唤醒爱#  [组图共3张] 原图 ,无,2018-08-14 16:34,无,299483,1000000,260744
Gu0FDunnu,今天《一出好戏》上映 看完了发现 有位前辈 要来剁我的嘴 努力努力再努力x的秒拍视频  ,无,2018-08-10 17:43,无,448230,1000000,257153
GtY6yj5ZN,找到我了吗，神秘嘉宾就是我！其实我一直在大众点评，日子再忙，也不能怠慢生活，和我一起来大众点评品质生活节，让平凡的每天都有闪光点，不将就，会生活。我是大众点评代言人，我在@大众点评 等你！→http://t.cn/RDJFCEG #会生活的人在大众点评# 努力努力再努力x的秒拍视频  ,无,2018-08-10 11:11,无,332309,1000000,260484
GtSx1nKCf,"转发理由:在一起 就是我们最好的回忆 感谢渤哥 感谢我们这个大家庭 大家都辛苦了 明天电影院见 #电影一出好戏#  
原始用户: 电影一出好戏
转发内容: #电影一出好戏#即将上映，回忆拍摄过程，留下了无数个数字记录，导演@黄渤 读着漂流瓶里张艺兴@努力努力再努力x 的小纸条，仿佛又回到了那五个月的时光。一切努力都会值得，感谢相遇和相信，倒计时1天，谢谢每一个“你”！ #欢乐暑期档# 电影一出好戏的秒拍视频  ",无,2018-08-09 21:00,无,279322,476897,82537
Gt3cSbJ2e,这是我第一次来芝加哥 也是第一次登上Lollapalooza音乐节 很兴奋的一次表演 很期待的一次合作 和@AlanWalker 一起给大家带来《Lay-Sheep（Alan Walker Relift）》的首次舞台 你们喜欢吗？感谢辛苦付出的所有工作人员 谢谢你们 8月31日会全球上线 记得来听  [组图共2张] 原图 ,无,2018-08-04 10:20,无,580489,1000000,381383
GsXyiitnj,"转发理由:hey hey hey see you soon.  
原始用户: AlanWalker
转发内容: Good to see you bro @努力努力再努力x . Can’t wait for our performance tomorrow at Lollapalooza.  原图 ",无,2018-08-03 19:56,无,403472,377913,68596
GsQ876hM1,这两天不泡水 要在芝加哥lollapalooza音乐海洋里冲浪 准备好和我一起了吗？[海浪][冲浪][冲浪]  原图 ,无,2018-08-03 01:02,无,576771,1000000,231312
GsG041QUE,话说 大家这两天是不是都忙着为那个特别的TA准备七夕礼物？ 我和@尚美巴黎CHAUMET 一起也为你们准备了一份特别有意义的礼物 Liens=缘分、连结 准备了很久 送给我最爱的你们 #CHAUMET缘分海洋#  还有一个小彩蛋来看 快问快答 努力努力再努力x的秒拍视频  ,无,2018-08-01 23:15,秒拍网页版,375346,1000000,242204
GsCOzrbfM,"转发理由:八一建军节快乐 有了祖国军人的默默付出 才有今天的幸福生活 谢谢你们 在这里衷心的祝愿 所有军人和军人的家属 都身体健康 万事顺意 也祝福祖国 更加强大 希望世界平安 和平  
原始用户: 央广军事
转发内容: 【今天，转发这条微博！#为人民军队点赞#！】#我和军队的不解之缘#有这样一群人，他们为中华盛强，保国捍疆；他们为人民安宁，给青春抹上橄榄绿。他们是你岁月静好背后的坚毅面庞；是战胜一切敌人、征服一切困难，势不可挡的中国力量！他们的名字叫中国人民解放军！今天八一建军节，转发传递，致敬！ （央视新闻）         [组图共9张]      原图                     ",无,2018-08-01 15:09,无,421651,301802,59183
GssNAgL14,我哥在哪里，我就在哪里！8月10日上映，好戏不远了，我们一起创造光明！#电影一出好戏#预售已经开始，上映倒计时啦！电影一出好戏的秒拍视频  ,无,2018-07-31 13:39,无,337790,1000000,164507
GsiTViCw4,@羅志祥 小猪哥 今年是第四次对你说生日快乐啦 祝你身体健康 事业顺利 全世界的自行车都给你骑 你一点都不像吹风机 （配图取自网络，感谢动画《Peppa Pig》原作者Mark Baker、Neville Astley and Phil Davies）  原图 ,无,2018-07-30 12:27,无,519184,941467,149338
GrKpYno9h,#粉丝嘉年华# 为什么问音乐博主要自拍  微博视频  ,无,2018-07-26 20:40,微博视频,440168,1000000,321127
GrkL9uxut,稍安勿躁 努力努力再努力x的微博视频  ,无,2018-07-24 03:20,微博视频,375570,1000000,319619
GqtpL493s,我是谁 我在哪 我在做什么张艺兴工作室的秒拍视频  ,无,2018-07-18 11:32,无,518272,1000000,443863
Gq5jnwYlp,"转发理由:失眠的夜晚就更勤奋练习 这是堆砌梦想的过程//@羅志祥:我失眠的时候 会想起我跟极限男人帮在收工后 ㄧ起聊天打屁 真的很快乐 想你們了 兄弟們[闭眼] 今晚极限收官 大家ㄧ定要收看喔#極限挑戰##極限男人幫##cto[超话]#  @黄磊微博 @黄渤 @演员王迅 @努力努力再努力x@孙红雷  @CTO男团 查看图片  
原始用户: CTO男团
转发内容: #cto[超话]# 你失眠过吗？你看到过失眠后的夜景吗？你失眠后都想做或做过什么事情？比如官博君失眠时想要和@CTO男团 等日出。现在，在这条微博评论中发布一张带有“C.T.O:INSOMNIA”的字样照片，转发并@ 一位你在失眠时想到的朋友，官博君会抽取10位CEO送出#CTO男团#的签名专辑。活动从今天起截止7月17日凌晨，来让#CTO陪你失眠#。@CTO杨梓鑫_ @CTO王梓宁 @CTO詹仕伟 @CTO翁宇庆 @CTO李振纬 @CTO薛恩 Insomnia         [组图共2张]      原图                     ",无,2018-07-15 22:10,无,259579,36025,82296
Gq36xBCNj,你们的#粉丝嘉年华#追星体验官张PD已上线！接下来的7天我将和你们一起签到打卡，都来说说#追星的自我修养#有哪些，让我看看谁悄悄断签了？  原图 ,无,2018-07-15 16:33,无,276092,1000000,346918
GpI6zo9mf,Transform...  [组图共9张] 原图 ,无,2018-07-13 11:06,无,508301,1000000,345772
GptGfu7NW,中了六千万 是得高兴一下的 咳 咳 #电影一出好戏#  微博视频  ,无,2018-07-11 22:22,微博视频,450738,1000000,320705
GpjUBfjUc,在我脑海里跑了这么多天 你们累吗miss u 努力努力再努力x的秒拍视频  ,无,2018-07-10 21:30,微博视频,515619,1000000,320934
GpjjGEmeI,"转发理由:恭喜欧阳靖老师新歌上线 一次又酷又balance的合作  
原始用户: 歐陽靖MCJin
转发内容: 實在是已經有一段時間沒推出過新的英文歌曲. 這個作品的靈感其實都是一個有趣的故事.. 好幾個月前, 我在一個無聊的狀態竟然發現原來在推特上有一大班人一直都有看偶像練習生, 慢慢就融入了他們的圈子. 當我想到我會寫一首歌曲送給他們的時候, 剛好我也想起之前有跟Lay@努力努力再努力x 聊過我們合作的事情. 簡直天時地利人和! 他的配合, 專業和創作精神是值得讚賞.  #歐陽靖Debut# 歐陽靖MCJin的秒拍视频                     ",无,2018-07-10 19:59,无,248696,484260,79365
GmRTefHe8,我有故事 但不能说  原图 ,无,2018-06-24 18:29,weibo.com,661754,1000000,845507
GmyEOd278,"转发理由:给大家介绍一下我的最爱，就是特别特别的@Perrier巴黎水！还有我的特别悄悄话，只说给爱Perrier的你听哦~我为大家预留了4000个Perrier特别音箱，锁定Perrier天猫官方旗舰店，7月10日有特别惊喜！ #特别特别Perrier# #天猫超级品类日#  
原始用户: Perrier巴黎水
转发内容: 是时候公开了，@努力努力再努力x #张艺兴# 就是 #Perrier# 中国区首位品牌代言人！“艺”想天开，随“兴”畅享，和张艺兴一起 #特别特别Perrier# ~更有Perrier特别音箱，收录张艺兴专属声音，更多惊喜尽在Perrier天猫官方旗舰店 #天猫超级品类日# Perrier巴黎水的秒拍视频  ",无,2018-06-22 17:32,weibo.com,265711,1000000,333857
GmqnG1Nyw,一次难忘的经历 有幸见到了老朋友 认识了新朋友 这次的巴黎时装周玩得很尽兴  原图 ,无,2018-06-21 20:28,weibo.com,556010,1000000,341256
GlKDK7mfx,醒了吗 早上好 来聊个天 努力努力再努力x的秒拍视频  ,无,2018-06-17 10:12,weibo.com,621472,1000000,454364
GlBD2aIyS,因为有梦想，所以才拼尽全力。无论别人怎么说，保持纯真初心才能走得更远 #踢球吧少年强# 期待你们的精彩表现~加油~@蒙牛乳业@蒙牛纯甄。  原图 ,无,2018-06-16 11:15,weibo.com,298719,1000000,323071
GlvOZwLHH,说吧想要啥福利 尽管说 反正也不一定做得到  ,无,2018-06-15 20:28,weibo.com,427543,1000000,270896
Gliu6Ajhg,世界杯开始啦，分享给你们一个好喝又好玩的球迷打call新姿势，搜索#摇瓶喝出彩# 带上你的@蒙牛纯甄，参与创意酸奶PK赛，超丰厚的奖品等你来拿，心动了吧？那就放开身体跟着节奏律动～一起摇起来吧～蒙牛纯甄的秒拍视频  ,无,2018-06-14 10:31,weibo.com,309574,1000000,311672
GkIDIkKhO,又有一段时间没来成都 大家的热情和想念我收到了 我也很想你们  [组图共3张] 原图 ,无,2018-06-10 15:16,weibo.com,566289,1000000,382922
GkAGWw9L5,"转发理由:感谢在这次合作中辛苦付出的大家  
原始用户: 时尚芭莎
转发内容: #张艺兴时尚芭莎# 本期张艺兴 @努力努力再努力x 内页大片火热上线！吾家少年初长成的模样，在昏暗的色调里展现出别样的魅力。听得了赞美，受得住诋毁，身处浮躁的世界里永远保持初心，从不用任何标签定义自己，靠努力证明实力，一路披荆斩棘，他值得所有最好的称赞。@小荔BAZAAR  @左敏洁KT  摄影@陈漫ChenMan 品牌鸣谢：碧欧泉男士 Biotherm Homme         [组图共6张]      原图                     ",无,2018-06-09 19:02,weibo.com,260164,605312,208262
GkxZBqQ0d,"转发理由:#NBA明星战队# 致敬两支球队的球员们，期待下个赛季的更多精彩。  
原始用户: NBA
转发内容: #NBA总决赛# 【捧杯时刻】2017-2018赛季NBA总冠军属于金州勇士！这是他们队史上的第六座总冠军，也是连续第二冠！恭喜！#勇士vs骑士#更多NBA总决赛精彩视频请戳：微博NBA NBA的微博视频  ",无,2018-06-09 12:10,weibo.com,246569,408471,113717
Gka37mtp1,"转发理由:谢谢karen姐给了这首歌很美的诠释 祝专辑大卖  
原始用户: Karen莫文蔚
转发内容: 才子系列第一辑：今天跟大家介绍～“又乖又帅又可爱，写歌编曲够精彩”的‘小绵羊’[绵羊] 张艺兴同学 @努力努力再努力x  #不待续##莫文蔚我们在中场相遇##莫文蔚25周年#  原图 ",无,2018-06-06 23:12,weibo.com,301209,435746,150626
Gk8gDByvf,明天就要高考的同学们 加油 祝大家考出理想的成绩 今晚放下紧张早点睡 我在这里等你们的好消息  ,无,2018-06-06 18:40,weibo.com,514705,1000000,209702
GjTfFjmSQ,从冬天到夏天 和大家一起拍戏很荣幸 很开心 共同走过了不少城市 留下了很多美好回忆 很感谢在这段时间里 给予我帮助和鼓励的导演 所有的前辈老师 让我学到很多 感谢一起拍戏的每位小伙伴  感谢为了这部剧辛苦付出 幕前幕后的所有工作人员 你们辛苦了 期待《黄金瞳》  [组图共3张] 原图 ,无,2018-06-05 04:27,weibo.com,474350,1000000,315805
GjEMCaDq7,能看到你们开心的笑 就觉得很满足 父母在外打拼的日子 希望我们的到来可以让你们感受到来自这个世界多一份的关心  原图 ,无,2018-06-03 15:37,weibo.com,477982,997123,274997
GjvK4q6B9,外婆 我很想您 小时候 是您骑着自行车带我上下学 带我认识更精彩的世界 带我不知不觉的慢慢长大 可长大以后的我却一直都没能抽出时间好好陪您 今天 我想把这#一封家书#送给您 提起笔的那一刻 我不是任何附加标签下的我 只是爱着您的细孙张艺兴 这辈子能当您的孙子 是我莫大的荣幸 未来 我想让时光慢一点再慢一点 能陪您走的更远[爱心]一封家书的酷燃视频                                 ,无,2018-06-02 16:36,weibo.com,331063,1000000,246609
GjnKOnEII,祝大家六一快乐 以心态过节 努力努力再努力x的秒拍视频  ,无,2018-06-01 20:15,weibo.com,347298,1000000,180426
GjkOiva3j,听说，你们只靠一双眼睛就认出了我？看来已经瞒不住了，没错！@碧欧泉Biotherm 男士亚太区代言人就是我，很高兴能够加入碧欧泉，也希望你们能喜欢我的新身份，更期待不久后和你们相见！#征服不设限#碧欧泉Biotherm的秒拍视频  ,无,2018-06-01 12:46,weibo.com,275191,1000000,253076
Gje1Y9fpl,"转发理由:对待音乐、舞蹈和工作，分分钟都要#来真的# ，我的“真”不止一面！ @Ray-Ban雷朋 这个夏天和我一起show出你不为人知的那一面！  
原始用户: Ray-Ban雷朋
转发内容: 久等了！雷朋 x 张艺兴新款合作系列已经“型”动～@努力努力再努力x 发动三大技能，跟随音乐摇摆灵魂，用舞蹈诠释全新表达，对待工作不努力都不可能的！#来真的# ，他不止一面，你最爱？猛戳 http://t.cn/R1t4Sqa 张艺兴要你一起show出未知的一面！速度抵达雷朋指定官方渠道了解一下！雷朋官方旗舰店 Ray-Ban雷朋的秒拍视频                     ",无,2018-05-31 19:30,weibo.com,234094,1000000,161068
GjcyCvoCk,"转发理由:我不怕鱼！我真的不怕！（鬼知道我经历了什么。） #电影一出好戏# #电影一出好戏定档0810#  
原始用户: 电影一出好戏
转发内容: #电影一出好戏# 幕后真人秀#另一出好戏# 上线！先导预告带你换一种方式360度体验电影拍摄故事。他们昼伏夜出，雨打不动风吹不跑，他们为什么不好好穿衣？为什么上一秒嬉笑下一秒打闹？人设是什么……可以吃吗？#微博电影之夜# @黄渤 @舒淇 @王宝强 @努力努力再努力x @于和伟 @演员王迅 @演员李勤勤 @演员李又麟 电影一出好戏的秒拍视频                     ",无,2018-05-31 15:45,weibo.com,189764,342298,114160
GiICYkjq5,貌似你们等自拍等得很焦急？OKOK 超慢速比心给你  #请开始你的表演#   微博故事 慢镜头不加特效  ,无,2018-05-28 11:33,weibo.com,353893,1000000,359038
GiBqSCLda,今晚羊不在 因为那几天在沙漠里工作  只能带着想念 给大家介绍一位新认识的骆驼兄弟 努力努力再努力x的秒拍视频  ,无,2018-05-27 17:14,weibo.com,304282,1000000,247709
Gi9NcBgSI,又是一年 祝我们极限男人帮生日快乐 极限挑战 这就是爱  ,无,2018-05-24 18:53,weibo.com,530297,1000000,329342
GhwMgguA1,趁着还没到上街卖艺的时间 先玩会篮球 晚上要和我一起去村里的街上逛逛吗？  原图 ,无,2018-05-20 15:33,weibo.com,462651,1000000,355834
GhuE9c3na,不管是不是告白日  也不管是520还是521 有句话一直想和你们说 #520# 努力努力再努力x的秒拍视频  ,无,2018-05-20 10:08,weibo.com,423757,1000000,344552
GgrFdDb3R,祝天下所有的母亲节日快乐 记得给妈妈发个短信 老妈 您辛苦了 最近很想念您 希望你一切都好 健康快乐 一首简单的歌 寄托了一些我的思念 母亲节快乐啊 努力努力再努力x的秒拍视频  ,无,2018-05-13 12:42,weibo.com,514269,1000000,655290
GghdfnStq,"转发理由:汶川十年 生生不息 铭记历史 致敬重生  
原始用户: 人民日报
转发内容: #汶川大地震10年# 生死不离，生生不息。十年了，你好吗？[汶川十年] 人民日报的秒拍视频  ",无,2018-05-12 10:05,weibo.com,408111,835388,196671
Gg2mUE7Uw,大家没有看错，吃鱼的鸡窝头是我本人。欢迎光临！#电影一出好戏##电影一出好戏定档0810#电影一出好戏的秒拍视频  ,无,2018-05-10 20:18,weibo.com,327543,1000000,257715
GfpMevBqj,今晚村口邮筒 给大家表演一个精彩的魔术  原图 ,无,2018-05-06 18:03,weibo.com,434749,1000000,335766
GelLj1Dlm,今晚羊出没 看完你就知道草的味道  原图 ,无,2018-04-29 18:00,weibo.com,650214,1000000,316276
Ge9cLbQwt,"春天是适合打球的季节，若你想成为篮球偶像，那么全球最大的@3X3黄金联赛 你需要了解一下～大有可为的#3X3黄金联赛#，只等你来战！不说了,我去练球了。 3X3黄金联赛的秒拍视频  ",无,2018-04-28 10:02,weibo.com,280505,1000000,278630
GdR85vaiL,"转发理由:你们说我偏执那些看不见的细节，我说这只是我的常规操作。 #CHUCK70# http://t.cn/RuVow3v  
原始用户: CONVERSE中国
转发内容: 在@努力努力再努力x 的世界里，没有完美。歌手，演员，制作人，不同身份的切换，不变的是他对细节的执着追求。看张PD #只用细节说话#，入手细节之作#CHUCK70# http://t.cn/RuVow3v CONVERSE中国的秒拍视频  ",无,2018-04-26 12:01,weibo.com,294049,1000000,261221
GdnLeekhg,从最初的纯真热爱，到登上舞台后的不忘初心、坚守，为了梦想数万次坚持不懈的练习，努力努力再努力不只是名字而已。忠于纯粹，我不是天生强大，我只是 #天生要强# @蒙牛乳业 @蒙牛纯甄  原图 ,无,2018-04-23 09:15,weibo.com,356252,1000000,266152
GcNXo3hzh,期待与格莱美更深入的合作 期待我的音乐走向世界 @格莱美音乐时空 @腾踔娱乐  原图 ,无,2018-04-19 14:06,weibo.com,383662,1000000,274802
GcMnTrs6I,"转发理由:8月10日  欢迎你们来  #电影一出好戏##电影一出好戏定档0810#  
原始用户: 黄渤
转发内容: 我的电影片名终于定下来了，就它了！！！《一出好戏》！！！《一出好戏》是开拍前没有定名的情况下，一拍脑袋想的暂代名。但是！但是！在后来近一年的时间里又想出一千多个名字后……才发现没有比它更合适的了……蓦然回首，发现那名儿依然在灯火阑珊处向我微笑，轻轻的一个飞吻吹向了我，说道：亲爱的，纠结是病，乖，是病得治……我跪倒在TA的面前，亲吻着TA的脚面，TA轻抚着我的头顶，细声询问：我叫什么！？我从未感受到如此的力量和温暖，痛哭流涕，一个嘶哑而又洪亮的声音从我的喉咙中喷发而出：《一出好戏》！《一出好戏》！！《一出好戏》！！！《一出好戏》！！！！《一出好戏》！！！！！《一出好戏》！！！！！！《一出好戏》！！！！！！！《一出好戏》！！！！！！！！《一出好戏》！！！！！！！！！《一出好戏》！！！！！！！！！！对！8月10日！等你《一出好戏》！@王宝强 @舒淇 @努力努力再努力x @于和伟 @演员王迅 @演员李勤勤 @演員李又麟 #电影一出好戏##电影一出好戏定档0810#              原图                     ",无,2018-04-19 10:05,weibo.com,250321,758088,163819
GcmT9yHh6,尊敬的的粉丝朋友 你们好 我 这里点 那里点 瞎看 看个信息还能暴露行踪 是我万万没有想到的 让各位担心了 你们好问我 最近在哪 我在你们心里附送久拍一张～  原图 ,无,2018-04-16 17:11,weibo.com,615005,1000000,259705
GbIQ8DtSI,"转发理由:和大家分享一个新身份 很荣幸能够成为首届 #格莱美音乐节# 的官方宣传大使 在此预祝音乐节圆满成功  希望乐迷朋友们玩得开心 来 一起泡在音乐水里面吧  
原始用户: 格莱美音乐时空
转发内容: #格莱美音乐节#我们非常高兴的宣布，中国九零后音乐人、制作人、歌手张艺兴先生@努力努力再努力x 成为2018-2019年度格莱美[r]音乐节中国官方唯一宣传大使，与@腾踔娱乐 和@格莱美音乐时空  共同努力在中国推广格莱美[r]音乐节这一国际音乐盛事。4月30日，北京长阳音乐主题公园，让我们一起享受无可比拟的音乐现场盛宴！ 格莱美音乐时空的秒拍视频                     ",无,2018-04-12 11:14,weibo.com,271920,1000000,246330
GaUmWDKwL,"今天才是正式开始4个月 从100到9 看到了你们的努力从一开始 我就发自内心地想把这件事做好不仅仅只是参加综艺节目看到你们的进步 我会开心愉悦看到你们有松懈 我会担心着急看到你们受伤生病 我也会挂念难过总是想尽自己所能地给予你们帮助每一个凌晨 每一次见面 都在我的脑海里看到你们 就像看到昨天的自己还是那句话 努力不会背叛你 机会留给有准备的人陪你们走到了这里 未来要靠自己前行了                                                          但我相信 我们共同度过的这段时光会成为一生中难忘且美好的记忆最后 献给在梦想路上拼搏的大家记得感恩 感谢成长路上每一个帮助过自己的人保持初心 无所畏惧             [组图共2张]      原图                             ",无,2018-04-07 02:44,weibo.com,894134,1000000,444799
